headline,story_in_detail
De Blasio’s presidential campaign raises a paltry $1.1M,"Mayor de Blasio’s presidential campaign against the rich is being funded by chump change, according to new campaign numbers.,The mayor’s quixotic bid for the White House raised nearly $1.1 million through the end of June, his campaign announced Monday. That’s far less than South Bend, Indiana Mayor Pete Buttigieg, who raised a whopping $24.8 million between April and June, despite running a city with a population of only 102,000.,Presidential candidates had until Monday to file fundraising totals for this year’s second quarter with the Federal Election Commission.,De Blasio, who has called for tax hikes for wealthy Americans, finished last month with about $728,000 cash on hand, the campaign said. Of the $1.1 million raised from roughly 6,700 donors, 92% came from contributions of $50 or less.,While de Blasio didn’t raise the least of the more than 20 Democratic candidates for president, Hizzoner’s showing paled in comparison to heavy-hitters in the crowded field.,Former Vice President Joe Biden took in $21.5 million. Sen. Elizabeth Warren raised $19.1 million and Sen. Bernie Sanders reported $18 million in donations.,Even New York Sen. Kirsten Gillibrand raised roughly twice what de Blasio took in – about $2.3 million.,Still, de Blasio 2020 celebrated the haul.,The campaign raised over $630,000 in the four days after “de Blasio’s impressive showing in the first Democratic primary debate,” according to a press release.,“We’re grateful to every supporter who chipped in because they share Mayor de Blasio’s message of putting working people first and we’re going to continue spreading that message to voters across the country,” campaign senior adviser John Paul Lupo said in a statement.,The fundraising boost allowed the mayor’s long-shot campaign to add staff and grow its New York headquarters, hiring three more city staffers.,Jess Moore Matthews, the city’s chief content officer since June 2018, will be the campaign’s digital director.,Jaclyn Rothenberg, a former spokeswoman and deputy communications director at City Hall, will become the campaign’s national press secretary. Rothenberg has already worked for the campaign in a volunteer capacity using vacation days.,And Will Baskin-Gerwitz will be a communications adviser for de Blasio 2020 after working as a spokesman in the mayor’s office for less than three months.,De Blasio’s 2020 campaign is already staffed with former city employees, including former deputy press secretary Olivia Lapeyrolerie and ex-deputy director of executive operations Alexandra Kopel. Lupo was also de Blasio’s intergovernmental affairs director before he began working for the campaign, initially in a volunteer capacity.,Three others, including the former executive director of the South Carolina Democratic Party, were hired for the campaign’s outpost in the early-voting state. The campaign also hired a field director in Iowa.,Last week, the campaign even hired de Blasio’s son as a paid policy analyst. Dante de Blasio, a 21-year-old recent Yale grad, will help write a campaign platform and prepare his father for debates.,“These hires are a direct result of the fundraising success we’ve had in just a few short weeks, and our growth is a sign of what’s to come moving forward,” Lupo said.,De Blasio officially launched his bid for the White House on May 16 after toying with a campaign for half a year.,Before that, the mayor had been raising money through a federal political action committee he dubbed “Fairness PAC.” The committee polled potential Iowa caucus-goers and bankrolled his travel to early primary states.,Since then, de Blasio has struggled to gain momentum in the polls.,De Blasio had 1% in a , released the week after he announced. An , released just last week had de Blasio with less than 1%.,This hasn’t stopped de Blasio from campaigning every chance he gets in early voting states, where the mayor has spent most weekends since mid-May stumping to mostly sparse crowds. De Blasio and his wife, first lady Chirlane McCray, have traveled to Iowa, South Carolina, Las Vegas, New Hampshire, Miami, Chicago and Texas.,This weekend, the mayor was in Waterloo, Iowa, when a massive blackout plunged thousands into darkness in Manhattan. After dithering for hours, de Blasio decided to head home to address the crisis, only to finally return to the five boroughs 12 hours after electricity was restored.,“With modern communications, the minute it was clear we had a serious situation, I was on the phone to all these folks and we were talking constantly,"" the mayor told reporters on Sunday.,On Monday, de Blasio suggested that his handling of the blackout proved he’d be a good “chief executive” for the entire country.,“With some other folks, including folks who are running for president, you can look at their ideas, their words, their proposals – when you’re chief executive, you have to look at the whole picture, what did you get done?” de Blasio said on MSNBC’s “Morning Joe."" “In six years, this is a very strong city today and with strong agencies that knew what to do in a crisis and did it in exemplary fashion.”"
Most expensive products on sale for Prime Day,"The longest Prime Day ever has begun — 48 hours of deals and major savings on items from home appliances to school supplies to toys and gadgets.,This summer shopping spree is a great time to make major savings on big ticket items. Almost all major brands have a few items for sale, and the number of options can be overwhelming — so we have put together a list of some of the most expensive products on sale this Prime Day to make saving that much easier.,Many of these deals expire soon, and all items are in limited stock, so be sure to carefully prioritize your purchases. We can't guarantee every lightning deal will be available to you when you read this, but here are the Prime Day sales we found for the high rollers out there.,For all of the fun of a regular hot tub with none of the challenging installation, this inflatable hot tub presents a different way to relax this summer. With an impressive six-person capacity and highly durable tritech walls, plus adjustable jets, this hot tub works well for those who can't install a traditional model. Normally available for $752.54, you can save between 11-33% on this deal.,This sleek saltwater trolling reel has a comfortable handle and excellent construction. With up to a 2,140-yard line capacity and a two-speed system, this reel is ready for the open ocean. Two sizes are available, both at decent discounts.,If you are looking for a grill with an alternative fuel source to charcoal or propane, this pellet grill from US Stove USSC Grills offers easy LED controls for precise grilling. The one-push ignition is straightforward, and the ability to control the temperature from 180° to 500° F for grilling a variety of foods. This lightning deal offers 26% off.,Whether you're looking for a generator for camping or emergencies, this quiet and highly portable gas-powered generator from Generac is a great choice. Right from the start, you get 3000 watts, and the functions of the generator can be easily controlled with a single dial.,For $751.20, you can save 25% on this deal.,The most feature-packed version of the popular Roomba is available at a great price this Prime Day — $550, a 39% discount from the list price. Equipped with virtual assistant compatibility for easy voice commands and an impressive 120-minute runtime, there's a reason this is one of the most powerful robot vacuums available. And unlike many of the other high-ticket items for sale on Prime Day, this sale should last through the end of the day Tuesday.,This elegant and sleek acrylic bathtub is the perfect fit for any bathroom with a minimalist, modern decor. Customers love this tub for its comfortable design and straightforward installation. Its lightning deal marked it down to $791.92.,Another ""Deal of the Day,"" Apple's most powerful iPad is available or a great price this Prime Day — $699 down from $1,129. Known for its crisp Retina display and extremely responsive touchscreen (especially when paired with the ,, this is a customer favorite, particularly among artists.,A quality 3D printer is an investment, and this award-winning model from Dremel is no exception — but at $839, you can save a massive 35% off of the list price. The simple setup and intuitive touchscreen make this a great first-time 3D printer that customers love for its speed and ease-of-use.,While this whole house water filter isn't the most exciting purchase, it does offer a great way to save on an item that you won't need to replace for years. It uses a salt-free system that claims to remove up to 97% of chlorine from tap water and greatly reduce scaling to protect your pipes. With a 20% markdown of its $1,552 price tag, this is a deal that will benefit you for years to come.,If you prefer your gaming on the go, this powerful laptop is a great option that comes equipped with 16GB DDR4 RAM and an Intel core i7 processor for impressive performance capable of handling most recent titles. Top this off with a 4K touchscreen and you have a versatile gaming laptop with great resolution. At $1,349, you can save 19% off list price with this Prime Day deal that's going fast.,Move quickly to claim this room-filling 4K HD TV that has just about everything you could ask for from a new TV — an ultra-slim design, smart TV functionality for apps and streaming, and a crisp and vibrant image. This is the highest price item we've come across this Prime Day, and it comes at a 33% discount for huge savings — however, stock is limited and much of the deal has already been claimed."
"SEE IT: Ginormica the Florida python weighs 200 pounds, stretches more than 20 feet and could break records","Spoiler alert: Mankind is doomed.,A Florida python fittingly named Ginormica is on course to be the largest snake on record as it hits the 200-pound mark and reaches more than 20 feet in length. The 6-year-old serpent, who is still growing, is also an excellent swimmer likely to live nearly 70 more years, according to the ,.,Ginormica resides at Emerald Coast Zoo in Crestview, Fla., under the care of Rick de Ridder, who sees to it the big girl’s diet of frozen goats and pigs is satisfied.,“We feed her 20 to 30 pounds animals every two weeks,” de Ridder said. “A snake this size, you would never want to teach 'em how to kill anything.”,He believes the imposing reptile is already large enough to kill a smaller human.,According to de Ridder, Ginormica is likely the longest snake in Florida and one of the five biggest on Earth. He expects her to break the record set at 25 feet in length in the next two years."
"Fotis Dulos, estranged husband of missing New Canaan mother Jennifer Farber Dulos, attempted to get judge removed from his contentious divorce case","Days before Fotis Dulos prepared for another custody ruling from a judge he’d accused of being biased against him, he dropped a bombshell into the middle of his already bitter pending divorce from his estranged wife Jennifer Farber Dulos. He wanted the judge thrown off the case, claiming a phone call he had with her husband had created a conflict of interest.,Months earlier, as Dulos searched for an attorney to represent him in the divorce battle, he called Blank Rome, a high-end New York City law firm, on Jan. 16 and talked to Norman Heller about hiring him for representation. During the “consultation,” Dulos said they talked about the case pending in Stamford court. Norman Heller told Dulos he would need a retainer of $25,000 before he would agree to take the case.,In his March 13 motion to get Judge Donna Heller thrown off his divorce case, Dulos claimed he had no idea the attorney he was discussing fees with was the husband of the judge overseeing his contentious divorce. But he argued, “There’s a reasonable appearance of impropriety,” so Heller should be disqualified.,But Reuben Midler, Farber Dulos’ attorney, wasn’t buying Dulos’ claim that he didn’t know Norman Heller was the judge’s husband. In a sharply worded response to Dulos’ motion, Midler said it was “common knowledge” that the Hellers were married, and he asked the judge to order a psychological evaluation of Dulos, saying Dulos’ legal maneuver was further evidence of his “manipulative, coercive and scheming behaviors displayed throughout this case and which is indicative of an underlying and potentially untreatable mental condition or psychopathology that should be thoroughly investigated.”,Farber Dulos, 50, a mother of five, hasn’t been seen since dropping her children off at school in New Canaan on May 24. Dulos, a professional home builder from Farmington, and his girlfriend, Michelle Troconis, have pleaded not guilty to evidence tampering and hindering prosecution, charges connected to her disappearance. Both are free after posting bail.,Police are examining the Dulos’ bitter divorce as part of their investigation and have launched a forensic audit of Dulos’ finances, racked in recent years by the enormous costs associated with the breakup, including fees paid to at least three attorneys who have worked on his case.,Midler in court papers said Dulos was preparing an “escape hatch” with his motion to get Judge Heller tossed from the case if her decision on visitation rights wasn’t to his liking and accused Dulos of trying to manipulate the judicial process. Midler said it was beyond comprehension that Dulos didn’t know what everyone in the courthouse knew — that Judge Heller’s husband was a New York attorney who handled family law.,Heller didn’t recuse herself from the Dulos’ divorce case. And a week after Dulos’ push to get her off the case, Heller issued new visitation orders drastically increasing Dulos’ time with his five children. While she insisted that his visits with the children be supervised, the judge ordered him to get the children every other weekend starting in late March.,Judge Heller declined to answer a series of questions The Courant submitted to her through the state judicial branch. Midler could not be reached for comment.,A transcript of the March 19 court hearing provides details of the conversation between Dulos and Norman Heller and the judge’s reasoning for not recusing herself from the case.,According to the transcript, Dulos testified that he called Blank Rome on the recommendation of another attorney looking for an expert in estate and trust law. He initially left a message with the firm. About a half hour later, Norman Heller called.,“When he introduced himself, that name just flew through my head. I didn’t — I — I didn’t make anything of it,” Dulos said, according to court transcripts.,Dulos said he told Norman Heller about his frustrations with his divorce case.,“That we’re just starting the discovery. That the case has gone backwards. That I was very disappointed with the pace of the case. I was disappointed by the — the — the behavior of Attorney Midler and his firm,” Dulos said. “That I thought they were basically taking advantage of my soon-to-be ex-wife and charging, charging, charging, and causing a lot of trouble for — for us as a family.”,Dulos said Heller told him his retainer fee was $25,000. The call lasted seven minutes, and Dulos didn’t retain him and never received a formal retainer letter from the firm, court transcripts said.,At no time did Dulos mention who the judge was in the case, and Heller never asked, Dulos testified, according to the transcripts.,Judge Heller said she was unaware of the short phone call to her husband until Dulos filed his complaint. She said it wasn’t enough for her to remove herself from the case.,“It was a seven-minute conversation. There was no retainer letter issued, no engagement letter. Mr. Dulos was not billed for the time,” Heller said, according to court transcripts. “No attorney-client relationship appears to have been formed based on the testimony of Mr. Dulos and the documents that have been — the exhibit that has been admitted.”,“I accept your testimony as to the subject matters that you discussed with Attorney Heller, but I have not asked him about that, and I have no intention of doing that,” Heller said, according to court transcripts. “So I don’t think there has been any prejudice to you. And I’m not going to disqualify myself because I don’t think that it affects my impartiality and fairness in this case at all.”,But Dulos didn’t stop his attack on the judge. He also submitted a critical letter about Judge Heller’s performance to the Judicial Selection Commission, which is charged with reappointing judges.,Dulos told the judge he had submitted the letter, telling Heller that he wrote that she was biased against him because he was Greek and insinuated that she had some arrangement with Midler’s law firm.,""That you have been biased in the case. That the case was progressing very well under Judge Colin,” Dulos said. “That I’ve seen my children for very little time. That I’ve been railroaded. That we even got to the point where my right to speak to my children in our native language has been taken away, and you have done nothing about it.”,“And you have passed such judgment on me, such harsh judgment on me, that I feel that it’s biased,"" court transcripts said.,Dulos said the children had stopped water skiing — a sport he taught them and in which two of them are nationally ranked. He said they stopped recognizing Greek traditions and learning the Greek language, the transcripts said.,“They stopped having contact with me for a — for over a year, Your Honor. Five kids. Who is going to give me that back?” Dulos said. “I feel you’ve been — you haven’t been very good to me, to my children, and to the case. And I have lost faith in your judgment. I’m sorry I’m going to say that, but that’s the truth. I’m — I’m speaking the truth,"" transcripts said.,Heller told Dulos that she should have been informed he had filed the letter, but that the statutes allowed her to continue with the case. She also said his letter apparently didn’t matter.,“And — so I’ve been approved for reappointment. I’ll put it that way. So whatever complaint Mr. Dulos made, the Judicial Section Commission has approved me for reappointment. But I did not have any knowledge of it, and I think I should have been informed,” Heller said, according to court transcripts.,A day after the hearing, Heller issued her new custody orders, which increased the amount of time that Dulos would see his children. One of the weekends that he was supposed to get the children was Memorial Day weekend.,But Farber Dulos went missing on May 24. And within days, Dulos was arrested after police said a man resembling him was seen on surveillance video throwing contractor bags filled with bloody towels and garments into trash cans on Albany Avenue in Hartford the same night Farber Dulos disappeared. Prosecutors have said the blood inside the bags was Farber Dulos’.,Dulos’ attorneys, Norm Pattis and Rich Rochlin, have filed a motion asking Heller to halt the divorce proceedings until Farber Dulos attends the hearings."
Bramhall cartoons from July to December 2019,
New York Daily News back pages from July to December 2019,
New York Daily News front pages from July to December 2019,
"1 dead, 15 injured after California house explosion","An employee of Southern California Gas was killed and 15 others were injured when ,.,A crew from SoCalGas was fixing a natural gas line that was damaged by a contractor who had been working on the home earlier Monday.,“We are deeply saddened to learn of today’s incident which took the life of one of our employees, injured firefighters, and impacted others,” SoCalGas said in a statement. “Our focus now is on working with first responders to make the area safe, and supporting all those involved. We will continue to work with first responders to determine what caused the accident. Our sympathies and thoughts are with the individuals and families of those impacted.”,Three of the injured were later confirmed to be firefighters but their conditions were unknown.,Breaking: 3 of the 15 injured in , home explosion are firefighters. No conditions. No one is unaccounted for at this hour. A SoCal Gas technician was killed in the blast. ,Witnesses reported a blast shaking their homes, but no information is available regarding damage to adjacent properties."
50 places you need to visit in your lifetime,
Bronx teen guilty in classroom stabbing of student,"A high school student who stabbed a classmate to death in a Bronx classroom couldn’t convince a judge he acted out of fear fueled by a lifetime of being bullied.,Abel Cedeno, who was tried in front of a judge rather than a jury and testified on his own behalf, was found guilty of all charges against him Monday. The 19-year-old began to cry after Bronx Supreme Court Judge Michael Gross read the verdict. ,As he was led from the courtroom, his mother and grandmother wept too, with his mother Luc Hernandez turning to him and saying: “I love you, papi.”,“I love you, too,” he responded, a tear running down his cheek.,Gross, who ultimately found Cedeno guilty of first degree manslaughter, assault and criminal weapons possession, wasn’t swayed by his testimony that he felt endangered by the two classmates he attacked with a knife in his history class at the now-closed Urban Assembly School for Wildlife Conservation in the Bronx.,He faces a maximum of 25 years in prison for the most serious manslaughter charge. Gross ordered Cedeno be held without bail prior to sentencing, which is scheduled for Sept. 10.,“The presumption of innocence no longer applies to Mr. Cedeno,” Gross said. “This was a possible and foreseeable outcome.”,The verdict comes four days after Cedeno took the stand and offered a chilling retelling of how a classroom encounter on Sept. 27, 2017 with Matthew McCree and Ariane LaBoy left the 15-year-old McCree dead and put LaBoy, 16, in a coma for two days.,A classmate who testified last week, Jomarlyn Colon, said Cedeno had been looking for a fight after someone pelted him with a paper ball during class.,Cedeno testified that after a verbal altercation, McCree came toward him.,“I remember my arms going up, some of (the motions) might have been blocking, some might have been punching. I don’t specifically remember,” Cedeno said. “I don’t know the specific moment the blade entered their bodies.”,Cedeno had requested a non-jury trial at the outset of the legal proceedings.,On Thursday, he testified that he endured years of non-stop bullying over his sexuality at the school.,“They called me a b----h. They called me a f----t and gay,” he said of the taunts he endured in the years prior to the attack.,Cedeno’s lawyers argued their client was justified in killing McCree because he feared for this life.,McRee’s mother Louna Dennis stood outside the courthouse Monday and said the guilty verdict was the answer to her prayers. ,""What was in my heart? That praise be to God for this outcome — for the prayers and everything that all my family and church has been doing for me,” Dennis said. ""The glory goes to God first and foremost.”,Defense attorney Robert Feldman asked that Cedeno be placed in an LGBT dorm at Rikers Island until his sentencing, and Judge Gross said he would make that recommendation.,Gross also granted a request that Cedeno be placed in protective custody and receive psychiatric attention."
Air Force not planning to show 'them aliens’ to viral Area 51 raiders,"In the days since it was ,, the event “Storm Area 51, They Can’t Stop All of Us"" has racked up over a million joke (and probably a few not-really) RSVPs.,“We will all meet up at the Area 51 Alien Center tourist attraction and coordinate our entry,” the evite reads. “If we naruto run, we can move faster than their bullets. Lets see them aliens.”,The ,, but the organizers have clarified that it’s a joke, most likely in hopes that the government doesn’t use secret alien technology from the conspiracy-laden Air Force base against them.,A pinned tweet on the page reads, “Hello US government, this is a joke, and I do not actually intend to go ahead with this plan. I just thought it would be funny and get me some thumbsy uppies on the internet.”,The Air Force isn’t taking any chances, issuing a stern (but enticingly vague) warning that people should stay away from the base.,“[Area 51] is an open training range for the U.S. Air Force, and we would discourage anyone from trying to come into the area where we train American armed forces,” ,. “The U.S. Air Force always stands ready to protect America and its assets.”,Head over to the event’s Facebook page to check out the memes other users have created and speculate about that Air Force spokesperson means by “assets.”"
